ts,angle_0,angle_1
1.508,180.0,180.0
1.51,180.0,180.0
1.512,180.0,180.0
1.514,180.0,180.0
1.516,180.0,180.0
1.518,180.0,180.0
1.52,180.0,180.0
1.522,180.0,180.0
1.524,180.0,180.0
1.526,180.0,180.0
1.528,180.0,180.0
1.53,180.0,180.0
1.532,180.0,180.0
1.534,180.0,180.0
1.536,180.0,180.0
1.538,180.0,180.0
1.54,180.0,180.0
1.542,180.0,180.0
1.544,180.0,180.0
1.546,180.0,180.0
1.548,180.0,180.0
1.55,180.0,180.0
1.552,180.0,180.0
1.554,180.0,180.0
1.556,180.0,180.0
1.558,180.0,180.0
1.56,180.0,180.0
1.562,180.0,180.0
1.564,180.0,180.0
1.566,180.0,180.0
1.568,180.0,180.0
1.57,180.0,180.0
1.572,180.0,180.0
1.574,180.0,180.0
1.576,180.0,180.0
1.578,180.0,180.0
1.58,180.0,180.0
1.582,180.0,180.0
1.584,180.0,180.0
1.586,180.0,180.0
1.588,180.0,180.0
1.59,180.0,180.0
1.592,180.0,180.0
1.594,180.0,180.0
1.596,180.0,180.0
1.598,180.0,180.0
1.6,180.0,180.0
1.602,180.0,180.0
1.604,180.0,180.0
1.606,180.0,180.0
1.608,180.0,180.0
1.61,180.0,180.0
1.612,180.0,180.0
1.614,180.0,180.0
1.616,180.0,180.0
1.618,180.0,180.0
1.62,180.0,180.0
1.622,180.0,180.0
1.624,180.0,180.0
1.626,180.0,180.0
1.628,180.0,180.0
1.63,180.0,180.0
1.632,180.0,180.0
1.634,180.0,180.0
1.636,180.0,180.0
1.638,180.0,180.0
1.64,180.0,180.0
1.642,180.0,180.0
1.644,180.0,180.0
1.646,180.0,180.0
1.648,180.0,180.0
1.65,180.0,180.0
1.652,180.0,180.0
1.654,180.0,180.0
1.656,180.0,180.0
1.658,180.0,180.0
1.66,180.0,180.0
1.662,180.0,180.0
1.664,180.0,180.0
1.666,180.0,180.0
1.668,180.0,180.0
1.67,180.0,180.0
1.672,180.0,180.0
1.674,180.0,180.0
1.676,180.0,180.0
1.678,180.0,180.0
1.68,180.0,180.0
1.682,180.0,180.0
1.684,180.0,180.0
1.686,180.0,180.0
1.688,180.0,180.0
1.69,180.0,180.0
1.692,180.0,180.0
1.694,180.0,180.0
1.696,180.0,180.0
1.698,180.0,180.0
1.7,180.0,180.0
1.702,180.0,180.0
1.704,180.0,180.0
1.706,180.0,180.0
1.708,180.0,180.0
1.71,180.0,180.0
1.712,180.0,180.0
1.714,180.0,180.0
1.716,180.0,180.0
1.718,180.0,180.0
1.72,180.0,180.0
1.722,180.0,180.0
1.724,180.0,180.0
1.726,180.0,180.0
1.728,180.0,180.0
1.73,180.0,180.0
1.732,180.0,180.0
1.734,180.0,180.0
1.736,180.0,180.0
1.738,180.0,180.0
1.74,180.0,180.0
1.742,180.0,180.0
1.744,180.0,180.0
1.746,180.0,180.0
1.748,180.0,180.0
1.75,180.0,180.0
1.752,180.0,180.0
1.754,180.0,180.0
1.756,180.0,180.0
1.758,180.0,180.0
1.76,180.0,180.0
1.762,180.0,180.0
1.764,180.0,180.0
1.766,180.0,180.0
1.768,180.0,180.0
1.77,180.0,180.0
1.772,180.0,180.0
1.774,180.0,180.0
1.776,180.0,180.0
1.778,180.0,180.0
1.78,180.0,180.0
1.782,180.0,180.0
1.784,180.0,180.0
1.786,180.0,180.0
1.788,180.0,180.0
1.79,180.0,180.0
1.792,180.0,180.0
1.794,180.0,180.0
1.796,180.0,180.0
1.798,180.0,180.0
1.8,180.0,180.0
1.802,180.0,180.0
1.804,180.0,180.0
1.806,180.0,180.0
1.808,180.0,180.0
1.81,180.0,180.0
1.812,180.0,180.0
1.814,180.0,180.0
1.816,180.0,180.0
1.818,180.0,180.0
1.82,180.0,180.0
1.822,180.0,180.0
1.824,180.0,180.0
1.826,180.0,180.0
1.828,180.0,180.0
1.83,180.0,180.0
1.832,180.0,180.0
1.834,180.0,180.0
1.836,180.0,180.0
1.838,180.0,180.0
1.84,180.0,180.0
1.842,180.0,180.0
1.844,180.0,180.0
1.846,180.0,180.0
1.848,180.0,180.0
1.85,180.0,180.0
1.852,180.0,180.2847770428168
1.854,180.0,180.2847770428168
1.856,180.0,180.0
1.858,180.0,180.0
1.86,180.0,180.52930233296613
1.862,180.0,180.63297016033917
1.864,180.0,180.75855009176544
1.866,180.0,180.90158457673783
1.868,180.0,181.04122023904304
1.87,180.0,181.04062607058043
1.872,180.0,181.04062607058043
1.874,180.0,181.18375332881592
1.876,180.0,181.5307089058913
1.878,180.0,181.43070505566868
1.88,180.0,181.43070505566868
1.882,180.0,181.4358370681045
1.884,180.0,181.5366537966225
1.886,180.0,181.5366537966225
1.888,180.0,181.4358370681045
1.89,180.0,181.5366537966225
1.892,180.0,181.5366537966225
1.894,180.0,181.5366537966225
1.896,180.0,181.5366537966225
1.898,180.0,181.29490050667314
1.9,180.0,181.28971297712573
1.902,180.0,181.43070505566868
1.904,180.0,181.18375332881592
1.906,180.0,181.18375332881592
1.908,180.0,181.04062607058043
1.91,180.0,181.04062607058043
1.912,180.0,181.04122023904304
1.914,180.0,180.90158457673783
1.916,180.0,180.90158457673783
1.918,180.0,180.63696905389997
1.92,180.0,180.52782228919114
1.922,180.0,180.52782228919114
1.924,180.0,180.63297016033917
1.926,180.0,180.428708590991
1.928,180.0,180.3918109642107
1.93,180.0,180.2847770428168
1.932,180.0,180.2847770428168
1.934,180.0,180.0
1.936,180.0,180.0
1.938,180.0,180.0
1.94,180.0,180.0
1.942,180.0,180.0
1.944,180.39176257845062,179.61944763454318
1.946,180.39176257845062,179.61944763454318
1.948,180.39176257845062,179.593507504139
1.95,180.39176257845062,179.45355634618693
1.952,180.39176257845062,179.34455567879144
1.954,180.39176257845062,179.09841542326217
1.956,180.39176257845062,178.95937392941954
1.958,180.39176257845062,178.9572296055653
1.96,179.70517876792138,178.6966556585295
1.962,179.70517876792138,178.48145718216907
1.964,179.70517876792138,178.2008336888742
1.966,179.70517876792138,178.2008336888742
1.968,179.70517876792138,178.06002128144215
1.97,179.70517876792138,178.06002128144215
1.972,179.70517876792138,177.79508439071856
1.974,179.70517876792138,177.79774581987664
1.976,179.70517876792138,177.53441686750153
1.978,179.70517876792138,177.3028783911213
1.98,179.70517876792138,177.1566787976198
1.982,179.70517876792138,176.890548794876
1.984,179.70517876792138,176.7627514924134
1.986,179.70517876792138,176.61625139132508
1.988,179.70517876792138,176.3588107904746
1.99,179.70517876792138,176.35322213237814
1.992,179.70517876792138,176.11381004115884
1.994,179.41241730540656,175.72583000053368
1.996,179.41241730540656,175.57752265216396
1.998,179.41241730540656,175.24778354522198
2.0,179.41241730540656,174.9760633941915
2.002,179.41241730540656,174.94671422906225
2.004,179.41241730540656,174.81625571518157
2.006,179.41241730540656,174.5583047161578
2.008,179.41241730540656,174.26348993497828
2.01,179.41040967491398,174.1781615436367
2.012,179.41040967491398,173.89342425929783
2.014,179.11766365896085,173.75182299153823
2.016,179.11766365896085,173.36725745610434
2.018,179.11766365896085,173.2398115838629
2.02,179.11766365896085,172.9623735370123
2.022,179.11766365896085,172.9674986579394
2.024,179.11766365896085,172.83520448450923
2.026,179.11766365896085,172.3144386393963
2.028,178.82501932252399,172.0335577814273
2.03,178.82501932252399,171.67241421441383
2.032,178.82501932252399,171.54609682592016
2.034,178.82501932252399,171.42199430225153
2.036,178.82501932252399,171.2631056884934
2.038,178.82301422434287,170.78334805198307
2.04,178.82301422434287,170.65846211186744
2.042,178.53039561052992,170.38187430748397
2.044,178.53039561052992,170.25504730733311
2.046,178.53039561052992,170.01721412037352
2.048,178.53039561052992,169.89456277761627
2.05,178.53039561052992,169.34454946289696
2.052,178.23792935706444,169.20998794712742
2.054,178.23792935706444,168.90818746783418
2.056,178.23792935706444,168.68558451413952
2.058,178.23792935706444,168.21173719132327
2.06,178.23592805070138,167.90985459076168
2.062,177.94349776352544,167.80435462905572
