,time,X_value,Y_value,Z_value
459,10.9177,2.55709,-9.49091,0.3352
460,10.9179,2.65286,-9.42147,0.35675
461,10.9202,2.8444,-9.28021,0.40463
462,10.9218,2.95214,-9.20599,0.44534
463,10.9237,3.16763,-9.06233,0.4621
464,10.9259,3.3879,-8.89952,0.52435
465,10.9279,3.5124,-8.81333,0.56505
466,10.9302,3.74465,-8.67925,0.6273
467,10.9323,3.83084,-8.61939,0.64885
468,10.9369,3.74465,-8.47094,0.50759
469,10.9372,3.74465,-8.47094,0.50759
470,10.9379,3.65127,-8.45897,0.419
471,10.94,3.49325,-8.43264,0.23943
472,10.9423,3.37593,-8.33926,-0.0431
473,10.9448,3.32804,-8.27222,-0.21309
474,10.9464,3.20593,-8.15969,-0.54111
475,10.948,3.12453,-8.09744,-0.67997
476,10.9503,2.93538,-7.96336,-0.84997
477,10.9523,2.7582,-7.78858,-0.94813
478,10.9579,2.63131,-7.45098,-0.8763
479,10.958,2.63849,-7.30972,-0.83321
480,10.9586,2.67201,-7.16606,-0.78772
481,10.9669,2.71511,-7.0272,-0.77096
482,10.9669,2.75581,-6.78777,-0.77575
483,10.9669,2.67201,-6.69918,-0.73504
484,10.967,2.63131,-6.57228,-0.70871
485,10.9681,2.55948,-6.50285,-0.64885
486,10.9724,2.50681,-6.46694,-0.60815
487,10.9724,2.40146,-6.3999,-0.47646
488,10.9775,2.04232,-6.38793,-0.21788
489,10.9775,2.04232,-6.38793,-0.21788
490,10.9779,1.88429,-6.42144,-0.12929
491,10.9812,1.53234,-6.46694,0.1245
492,10.9817,1.30727,-6.46933,0.24422
493,10.9842,0.82363,-6.43581,0.36632
494,10.9868,0.61054,-6.37595,0.35914
495,10.988,0.24422,-6.24187,0.36154
496,10.9899,-0.0838,-6.04315,0.40703
497,10.9919,-0.26576,-5.93301,0.44773
498,10.9981,-1.01757,-5.40148,0.56265
499,10.9981,-1.01757,-5.40148,0.56265
500,10.9981,-1.19474,-5.3129,0.59139
501,11.0002,-1.45093,-5.16445,0.66321
502,11.0023,-1.53712,-5.08544,0.7111
503,11.0041,-1.66163,-4.89629,0.90025
504,11.0063,-1.75979,-4.71193,1.13249
505,11.0082,-1.80049,-4.64729,1.23545
506,11.0103,-1.80049,-4.56349,1.3791
507,11.0123,-1.77655,-4.52757,1.46769
508,11.0172,-1.7167,-4.51321,1.62571
509,11.0175,-1.68796,-4.53715,1.68318
510,11.0178,-1.63529,-4.53715,1.68318
511,11.0207,-1.56107,-4.57067,1.70951
512,11.0222,-1.37431,-4.58264,1.71191
513,11.0246,-1.27615,-4.5994,1.75021
514,11.0264,-1.11334,-4.67841,1.69994
515,11.0289,-0.84278,-4.78855,1.50121
516,11.0301,-0.69913,-4.86038,1.4198
517,11.0328,-0.38308,-5.02798,1.40065
518,11.0385,0.13647,-5.31768,1.49882
519,11.0391,0.32083,-5.435,1.54431
520,11.0391,0.5004,-5.55951,1.58262
521,11.0401,0.69195,-5.66725,1.59938
522,11.0423,1.04151,-5.88513,1.54431
523,11.0442,1.37431,-6.12216,1.39347
524,11.0466,1.49403,-6.24666,1.26418
525,11.0479,1.6305,-6.50524,0.93616
526,11.0522,1.67839,-6.73031,0.56984
527,11.0522,1.6736,-6.83087,0.39984
528,11.0579,1.56346,-7.21395,-0.25619
529,11.058,1.56346,-7.21395,-0.25619
530,11.0589,1.51558,-7.31212,-0.35435
531,11.0611,1.45811,-7.47253,-0.47646
532,11.0624,1.43656,-7.54436,-0.48125
533,11.0655,1.4198,-7.69759,-0.39266
534,11.0658,1.46769,-7.87238,-0.36154
535,11.0679,1.47487,-7.97772,-0.36872
536,11.0698,1.42938,-8.21715,-0.36632
537,11.0724,1.43417,-8.30813,-0.38308
538,11.0836,1.57304,-8.64333,-0.53153
539,11.0837,1.57304,-8.64333,-0.53153
540,11.0837,1.60416,-8.70319,-0.56265
541,11.0837,1.80049,-8.77023,-0.61772
542,11.0837,2.04711,-8.84445,-0.71589
543,11.0854,2.16203,-8.90191,-0.76377
544,11.0862,2.46371,-9.0767,-0.87152
545,11.0882,2.71271,-9.16768,-0.88828
546,11.0914,2.80848,-9.38077,-0.84997
547,11.0926,2.99284,-9.60583,-0.7949
548,11.0977,3.19875,-9.82131,-0.65603
549,11.0977,3.23227,-9.91469,-0.62251
550,11.1003,3.23945,-9.98413,-0.58181
551,11.1003,3.25861,-10.03919,-0.54829
552,11.102,3.24185,-10.10384,-0.55308
553,11.1043,3.18917,-10.13975,-0.62969
554,11.1063,3.14368,-10.11821,-0.65364
555,11.1081,3.05749,-10.04638,-0.70152
556,11.11,3.03594,-10.02243,-0.73504
557,11.1119,3.07664,-9.94821,-0.84997
558,11.1176,3.18439,-9.76864,-1.15404
559,11.1177,3.18439,-9.76864,-1.15404
560,11.1189,3.19636,-9.73273,-1.1708
561,11.1208,3.18199,-9.66569,-1.22347
562,11.1223,3.16523,-9.62498,-1.23066
563,11.1242,3.18917,-9.54597,-1.17798
564,11.1265,3.23467,-9.50048,-1.1277
565,11.1279,3.35917,-9.44541,-0.9625
566,11.13,3.53634,-9.35443,-0.72307
567,11.1326,3.63451,-9.30655,-0.55547
568,11.1375,4.09421,-9.19641,0.1245
569,11.1375,4.09421,-9.19641,0.1245
570,11.1382,4.20914,-9.19402,0.27774
571,11.1405,4.51081,-9.16768,0.47407
572,11.1429,4.83165,-9.1605,0.52674
573,11.1443,5.00403,-9.15571,0.6273
574,11.1461,5.28895,-9.18683,0.71828
575,11.1484,5.44698,-9.21556,0.7925
576,11.1506,5.85879,-9.30176,0.91222
577,11.1521,6.32567,-9.30894,1.03433
578,11.1574,7.03438,-9.44063,1.19953
579,11.1578,7.23789,-9.44063,1.2115
580,11.1584,7.41746,-9.58907,1.19953
581,11.1601,7.58027,-9.68484,1.14686
582,11.1622,7.88195,-9.98413,0.89785
583,11.1641,8.01124,-10.15651,0.7111
584,11.1684,8.18842,-10.54199,0.32083
585,11.1684,8.35362,-10.93944,-0.09338
586,11.17,8.46855,-11.1238,-0.26816
