"user_id","experiment_group","UserType","is_verified","user_revenue","exposed_items"
1653464,no_discount,Company,0,,1
1655285,no_discount,Private,0,177.15384615384616,7
1655575,"30_discount",Private,0,28.46153846153846,1
1657013,no_discount,Private,0,26.23076923076923,1
1657886,no_discount,Private,0,39.15384615384615,1
1657934,no_discount,Company,1,,1
1658418,"30_discount",Private,0,98.3076923076923,2
1658882,no_discount,Shop,1,398.6153846153847,15
1662862,"60_discount",Company,0,35.46153846153846,1
1663313,no_discount,Company,0,,1
1665541,"60_discount",Private,0,,1
1666320,"60_discount",Private,0,,1
1667316,"30_discount",Private,0,,1
1668127,"60_discount",Private,0,,1
1669634,"60_discount",Private,0,40.0,2
1670438,"60_discount",Private,0,,1
1671151,no_discount,Company,1,760.4615384615382,20
1673334,"60_discount",Private,0,,1
1673716,no_discount,Private,0,,1
1673985,"30_discount",Private,0,72.0,2
1674177,"30_discount",Private,0,35.30769230769231,1
1674206,no_discount,Private,0,,1
1674475,no_discount,Private,0,26.123076923076923,1
1678027,"30_discount",Private,0,137.0,4
1680696,no_discount,Private,0,,1
1687049,"30_discount",Private,0,80.15384615384616,2
1688020,no_discount,Private,1,264.0,7
1688976,"30_discount",Company,0,27.384615384615387,1
1689007,"60_discount",Private,0,,1
1691251,"60_discount",Private,0,,1
1691781,no_discount,Private,1,76.6923076923077,2
1692959,"30_discount",Private,0,59.61538461538461,1
1693487,"30_discount",Private,0,37.769230769230774,2
1702502,"30_discount",Private,0,,1
1703424,"60_discount",Private,0,36.61538461538461,2
1706398,"30_discount",Private,0,32.0,1
1706918,"30_discount",Company,0,,1
1708042,no_discount,Company,0,32.0,1
1708773,"30_discount",Private,0,,1
1716606,"60_discount",Private,0,,1
1726391,no_discount,Private,0,,1
1726676,no_discount,Private,0,34.30769230769231,1
1731441,no_discount,Company,0,,1
1733268,no_discount,Shop,0,334.1538461538462,9
1736752,"60_discount",Private,0,,1
1739776,no_discount,Private,0,28.53846153846154,1
1741191,no_discount,Private,0,,1
1741303,no_discount,Company,0,95.61538461538461,3
1751706,no_discount,Company,0,45.38461538461539,1
1752120,no_discount,Company,0,40.07692307692308,1
1752473,"60_discount",Shop,0,28.53846153846154,1
1753562,no_discount,Private,0,51.61538461538461,1
1753835,"60_discount",Shop,0,,1
1754843,"60_discount",Private,0,,1
1754900,"30_discount",Private,0,,1
1754933,no_discount,Company,0,73.23076923076923,2
1755316,no_discount,Company,0,27.384615384615387,1
1756275,"60_discount",Company,0,,1
1756736,"30_discount",Private,1,27.384615384615387,1
1757426,"60_discount",Private,0,152.15384615384616,4
1757965,"30_discount",Company,0,,1
1758769,"30_discount",Company,0,1245.9999999999993,13
1759536,no_discount,Private,0,,1
1760175,no_discount,Private,1,50.43,1
1760242,"60_discount",Private,0,,1
1760618,no_discount,Private,0,,1
1761413,no_discount,Company,0,,1
1762093,"30_discount",Private,1,45.84615384615385,1
1763564,"30_discount",Private,0,114.61538461538461,2
1763687,no_discount,Private,0,98.61538461538461,2
1766007,"30_discount",Private,0,,1
1766706,"30_discount",Company,0,,1
1767314,no_discount,Company,0,,1
1767330,no_discount,Private,0,77.38461538461539,2
1767335,"30_discount",Company,0,,1
1767425,"60_discount",Private,0,,1
1767591,"30_discount",Company,0,166.9230769230769,6
1767619,"60_discount",Private,0,81.3076923076923,2
1768796,"30_discount",Shop,0,274.7692307692307,5
1768812,"60_discount",Private,0,33.15384615384615,1
1769155,"30_discount",Company,0,,1
1770053,no_discount,Company,0,37.769230769230774,1
1770883,"60_discount",Private,0,,1
1771168,"30_discount",Company,0,27.153846153846153,1
1771545,"60_discount",Company,1,,1
1773802,"60_discount",Company,0,,1
1774373,no_discount,Company,0,36.61538461538461,1
1774651,"30_discount",Private,0,43.53846153846154,2
1774834,"30_discount",Private,0,36.61538461538461,1
1776383,no_discount,Shop,0,,1
1776468,"30_discount",Company,0,,1
1776536,"30_discount",Company,0,,2
1777216,"30_discount",Company,0,57.38461538461539,1
1778306,"30_discount",Private,0,73.23076923076923,2
1778910,"30_discount",Private,0,,1
1780428,"60_discount",Private,0,142.76923076923077,2
1780631,"30_discount",Company,0,42.38461538461539,1
1780667,no_discount,Company,0,,2
1780812,no_discount,Company,0,32.0,1
1781804,no_discount,Private,0,91.53846153846155,2
1781812,"30_discount",Private,0,28.53846153846154,1
1782403,no_discount,Company,0,95.15384615384616,2
1782476,no_discount,Private,0,300.1538461538462,7
1782675,"60_discount",Company,0,,2
1783215,"60_discount",Company,0,,1
1785540,"30_discount",Company,1,,2
1785606,"60_discount",Company,0,50.46153846153846,1
1785616,"60_discount",Company,0,40.07692307692308,1
1787648,"30_discount",Shop,0,51.61538461538461,2
1787783,"60_discount",Private,0,143.0,4
1789212,no_discount,Private,0,,2
1790400,"60_discount",Private,0,,1
1791067,"60_discount",Private,0,,1
1794330,"30_discount",Private,0,,1
1794416,no_discount,Company,0,,1
1796342,no_discount,Company,0,,1
1797137,"60_discount",Private,0,,1
1797231,"30_discount",Company,0,,1
1798411,"30_discount",Private,0,,1
1798476,"60_discount",Private,0,,1
1799274,"60_discount",Private,0,51.92307692307693,3
1799660,"60_discount",Company,0,40.07692307692308,1
1799705,"60_discount",Company,0,,1
1800140,no_discount,Private,0,46.230769230769226,1
1800215,"60_discount",Private,0,,1
1800443,"60_discount",Private,1,137.23076923076923,6
1802573,no_discount,Private,0,47.0,1
1802612,"60_discount",Company,0,126.0,3
1802716,"60_discount",Private,0,28.53846153846154,1
1802919,"60_discount",Private,0,,1
1802989,no_discount,Company,0,50.92307692307693,2
1803063,"60_discount",Company,0,42.38461538461539,1
1803172,"30_discount",Company,0,,1
1803695,"30_discount",Private,0,68.46153846153845,2
1803858,"60_discount",Private,0,,1
1807288,"60_discount",Shop,1,32.0,1
1808864,"30_discount",Private,0,35.30769230769231,1
1809414,"30_discount",Company,0,379.92307692307696,9
1812130,"60_discount",Private,1,58.230769230769226,2
1813237,"60_discount",Company,1,126.84615384615384,5
1813553,"60_discount",Private,0,47.0,1
1814170,"30_discount",Private,0,47.0,6
1815086,"30_discount",Private,0,36.61538461538461,1
1815172,"30_discount",Private,0,158.07692307692307,3
1816864,"30_discount",Company,0,67.76923076923077,2
1816913,no_discount,Private,0,37.769230769230774,1
1817668,"30_discount",Company,0,27.384615384615387,1
1817895,"60_discount",Company,0,,2
1817949,no_discount,Private,0,33.15384615384615,1
1819165,no_discount,Company,0,,1
1819185,no_discount,Private,0,91.6923076923077,2
1819211,"60_discount",Private,0,137.92307692307693,4
1819409,no_discount,Company,0,96.3076923076923,2
1819542,"30_discount",Company,1,58.92307692307692,2
1819735,no_discount,Company,0,,1
1820002,"30_discount",Company,0,92.84615384615384,3
1821828,no_discount,Private,0,,1
1822900,no_discount,Shop,0,54.61538461538461,2
1826001,"30_discount",Private,0,,1
1826605,"60_discount",Company,0,,1
1828235,"60_discount",Private,1,28.53846153846154,1
1828322,no_discount,Company,0,,1
1829772,"60_discount",Private,0,50.46153846153846,1
1831445,no_discount,Company,0,607.6923076923077,6
1832098,no_discount,Private,0,,1
1832121,"60_discount",Private,0,,1
1832383,"60_discount",Company,0,32.0,1
1833140,no_discount,Private,0,,1
1833828,"60_discount",Private,0,34.30769230769231,1
1834340,no_discount,Private,0,95.07692307692308,5
